Type,Post URL,Content,Timestamp,Media URL,Impressions (Organic),Impressions (Paid),Reach (Organic),Reach (Paid),Replies,Taps Back,Taps Forward,Exits
"VIDEO","https://www.instagram.com/stories/interventionsnuisibles/3192435128491168306","🌍📍",2023-09-15 16:25,"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/4F43A71CFE1F1D9222810CDC8EE17AB4_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=108&vs=1009009773672608_421800586&_nc_vs=HBksFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzRGNDNBNzFDRkUxRjFEOTIyMjgxMENEQzhFRTE3QUI0X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBABUAGCRHTmRJZHhhUUxjaThxQ2dJQUVKaHFvQktQUUJFYnBrd0FBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbUmoPKgb%2BGQBUCKAJDMywXQCWkWhysCDEYEmRhc2hfYmFzZWxpbmVfMV92MREAdegHAA%3D%3D&ccb=9-4&oh=00_AfCtyDCqj193Wd219q350Ve9ZS7YLxOVxnZDNAUvto7gyg&oe=6506F001&_nc_sid=1d576d&_nc_rid=bd5785fb64",16,,16,,0,0,12,8
"VIDEO","https://www.instagram.com/stories/interventionsnuisibles/3190958807378382935",,2023-09-13 15:32,"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/644151DAFC27D60A64C48E6AA9A6E7A6_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=101&vs=685616503620112_158422431&_nc_vs=HBkcFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyLzY0NDE1MURBRkMyN0Q2MEE2NEM0OEU2QUE5QTZFN0E2X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJsCny8Hpo4hAFQIoAkMzLBdALe8an752yRgSZGFzaF9iYXNlbGluZV8xX3YxEQB16AcA&ccb=9-4&oh=00_AfBWTR9kjNNBFVR_aurv7KDmiNhA0XrNIQGLPiDQvT_zpg&oe=65040626&_nc_sid=1d576d&_nc_rid=d9167703e4",11,,11,,0,0,4,2
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3190856088177272787",,2023-09-13 12:08,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/376692039_627493062833122_550863310450757807_n.webp?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OK4fk92WcO4AX-rvEgv&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfD-K2tgZjWRYk-MXjQ634TDCnE2p3iAajMhVsCgSTTBhw&oe=65068FE0",13,,13,,0,1,11,2
"VIDEO","https://www.instagram.com/stories/interventionsnuisibles/3190855750896436061",,2023-09-13 12:07,"https://scontent-lcy1-1.cdninstagram.com/o1/v/t16/f1/m78/E04D3F87BD2AB1BE9438A323AB2AF5B7_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5zdG9yeSJ9&_nc_ht=scontent-lcy1-1.cdninstagram.com&_nc_cat=107&vs=1474746453373749_4212164271&_nc_vs=HBkcFQIYUWlnX3hwdl9wbGFjZW1lbnRfcGVybWFuZW50X3YyL0UwNEQzRjg3QkQyQUIxQkU5NDM4QTMyM0FCMkFGNUI3X3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJsbPq%2F6Ovec%2FFQIoAkMzLBdAE7xqfvnbIxgSZGFzaF9iYXNlbGluZV8xX3YxEQB16AcA&ccb=9-4&oh=00_AfAI4Mi68bz0npnyN2eTwwOEPl0xjKarfiKhRbO4xaGNKw&oe=6503D7D1&_nc_sid=1d576d&_nc_rid=3dc012efd6",15,,15,,0,0,11,1
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3190855431391158736",,2023-09-13 12:07,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/375395144_653910099830271_3705969474563784504_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0RbuJQDxPBkAX-0a6x2&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfCcdtMCXHvp2pzlQS1HMUzBQV27PJoqzB8bMGQQnZmMzg&oe=6507047E",19,,19,,0,0,13,0
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3185704159402887444","Les réponses dans notre post ! ☑️❌",2023-09-06 09:32,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/375235833_1429364814306381_4901752748822773661_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=yGB9nVBxAwQAX8a_C1Q&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfBfr9sIjVOtoMoNmOOm76CNIq_iUK7G4ieaQqB718l3ZQ&oe=64FE2BF9",15,,14,,0,0,11,4
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3185702457119504441",,2023-09-06 09:29,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/375265041_1018985242678564_4601220702625222496_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=LGalYzhzEFkAX-fte_l&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAoDtLMhTMijOfVAMxF17DBt10H5XjcxeDyOzRkv4oX0Q&oe=64FD5BDC",16,,16,,0,1,11,1
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3185702455525512837",,2023-09-06 09:29,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/375142532_1676160256185376_8537435572762012953_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9OsHKFi-dh8AX9Uji_H&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAvHzc4TnNY0WrJ98J8OzwGkd_ZlPKe96UsnxaGXrXeBQ&oe=64FEBF1E",16,,16,,0,3,12,0
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3185702459224914080",,2023-09-06 09:29,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/374778051_257584680525636_1119781789540641915_n.webp?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=pI_WEzoZP5AAX_uTH0e&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfBCKfDdoGYSeI-V13gK9o02osPnPkRPWaGR8GfVcUOdSw&oe=64FEC85A",19,,17,,0,4,14,2
"IMAGE","https://www.instagram.com/stories/interventionsnuisibles/3185702046161491620",,2023-09-06 09:28,"https://scontent-lcy1-1.cdninstagram.com/v/t51.29350-15/375750404_844379540640458_7184374780028258080_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=03W7xUZXeFwAX_sYOZr&_nc_ht=scontent-lcy1-1.cdninstagram.com&edm=AB9oSrcEAAAA&oh=00_AfAu93bzLhsuGIKIqbXmTrVmx68k6654KJRwmWBH1XdWJA&oe=64FE9F46",19,,18,,0,0,17,4
